t,S,theta,kappa,sigma,I
0.000000000000000000e+00,8.030097293161224670e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.379161347811869831e+00
2.000000000000000111e-01,8.618189715908806114e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.758190007227733886e+00
4.000000000000000222e-01,1.008225546594875288e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.784142242107613185e-02
6.000000000000000888e-01,9.252045767790491038e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.750531031918480807e+00
8.000000000000000444e-01,6.716433171202483843e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.206655672569276305e+00
1.000000000000000000e+00,1.006965427556842263e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.540972976456519206e+00
1.200000000000000178e+00,8.673513153933319897e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.903875326116425626e+00
1.400000000000000133e+00,8.220518431336746312e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.934651148207242599e+00
1.600000000000000089e+00,9.786290265138463118e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.826990075181356588e+00
1.800000000000000044e+00,1.008583640804275428e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-6.589080227180517113e+00
2.000000000000000000e+00,8.624960675850981140e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.868429065790117249e+00
2.200000000000000178e+00,9.548666023580739681e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.733305442498624060e+00
2.400000000000000355e+00,9.948114979230592292e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.491122470411122336e+00
2.600000000000000089e+00,9.912408707165293320e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.154435397135460839e+00
2.800000000000000266e+00,8.884753927272563967e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.047332571899774578e+00
3.000000000000000000e+00,9.881934467825087554e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.631957424109183208e+00
3.200000000000000178e+00,8.000462065264496436e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.943904637814998893e+00
3.400000000000000355e+00,9.711124762483623885e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.083504536886149339e+00
3.600000000000000089e+00,9.252980372397037190e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.353946603040201424e+00
3.800000000000000266e+00,8.460496776668363639e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.981856881950875504e+00
4.000000000000000000e+00,9.023510040849112013e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.035886251921326107e+00
4.200000000000000178e+00,7.802239595011343232e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,8.578868691329834206e+00
