t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.032712548871537406e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.140024403517845286e+00
2.000000000000000111e-01,1.068987348364804246e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.364543453531926076e+00
4.000000000000000222e-01,1.053328229596732779e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.564828035737207301e+00
6.000000000000000888e-01,9.390760663532113917e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.658484886975678307e+00
8.000000000000000444e-01,9.173385075634860053e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.351451635149786057e+00
1.000000000000000000e+00,1.039742937609091200e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.396374889835477973e+00
1.200000000000000178e+00,1.111862358528138417e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.313562329973617437e+00
1.400000000000000133e+00,1.071062970360269651e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.870070675969204288e+00
1.600000000000000089e+00,9.791999596684070051e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.733675236546980969e+00
1.800000000000000044e+00,1.036951326674436347e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.648879146011374530e-02
2.000000000000000000e+00,1.068866135725814681e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.392953906188189706e+00
2.200000000000000178e+00,8.826378764332366567e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.492261878152547183e+00
2.400000000000000355e+00,1.104798846617427222e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.392368670614926529e+00
2.600000000000000089e+00,1.010102895404944467e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.414175305861110843e+00
2.800000000000000266e+00,1.115316459789348791e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.933234945627562595e+00
