t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.197805088864031919e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.835827984067783802e+00
2.000000000000000111e-01,1.031787728279743632e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.529280290605363746e+00
4.000000000000000222e-01,7.952185100566586673e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.784462252008559346e-01
6.000000000000000888e-01,1.013364922225393316e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.813134936217494442e+00
8.000000000000000444e-01,1.009269482384658190e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.255548301429794122e+00
1.000000000000000000e+00,9.927972136956678684e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.760778080046890182e-01
1.200000000000000178e+00,1.001415404296932765e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.394569754967809772e+00
1.400000000000000133e+00,1.061501823770190089e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.546348679433450002e-01
1.600000000000000089e+00,8.773799069476415635e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.053123095288335698e+00
1.800000000000000044e+00,1.095840254011126724e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.320488770159904846e+00
2.000000000000000000e+00,9.414745873653448394e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.905910072827456503e-01
2.200000000000000178e+00,1.007459564143068587e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.705530608695710271e-01
2.400000000000000355e+00,8.967956616230809974e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.588771686000272965e+00
2.600000000000000089e+00,1.097285190770730834e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.817294025811037272e+00
2.800000000000000266e+00,9.881027092383627419e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.413787534636234966e+00
3.000000000000000000e+00,1.111043294115711344e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.043567736675370838e+00
3.200000000000000178e+00,9.506252125518501739e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.525755413264441529e+00
3.400000000000000355e+00,1.012381399911376434e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.056424805283826984e+00
3.600000000000000089e+00,1.014808530945082943e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.756498006243982779e+00
3.800000000000000266e+00,1.028144903024077683e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.944184298651872922e+00
