t,S,theta,kappa,sigma,I
0.000000000000000000e+00,9.801147591495318334e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.641288259090181612e+00
2.000000000000000111e-01,1.242452196287659349e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.365450877517382366e+00
4.000000000000000222e-01,1.200713598730145382e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.138218049500881790e+00
6.000000000000000888e-01,7.639947125106493209e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.747083767530149601e+00
8.000000000000000444e-01,9.883430923468815577e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.819682925333779622e+00
1.000000000000000000e+00,9.945275166037884640e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.903783850249853415e+00
1.200000000000000178e+00,8.986880408316522129e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.089144748935670037e+00
1.400000000000000133e+00,7.426839565864769011e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.405423940251118609e+00
1.600000000000000089e+00,1.039561444077379715e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.151609529224387529e+00
1.800000000000000044e+00,1.100264247453502042e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.431232010018907985e+00
2.000000000000000000e+00,1.078951104448033771e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.807155040742889796e+00
2.200000000000000178e+00,1.076794745156351540e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.588155389407198470e+00
2.400000000000000355e+00,1.160697183768856444e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.494639231677872715e+00
2.600000000000000089e+00,1.103223056306399386e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.039743034813126243e+00
2.800000000000000266e+00,1.094826395302682220e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.547040264608018134e+00
3.000000000000000000e+00,1.063631937780763703e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.336374927364786913e+00
3.200000000000000178e+00,1.192959479395781619e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.832339145474720432e+00
3.400000000000000355e+00,1.142584661050903394e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.136494598737304074e+00
3.600000000000000089e+00,1.170611242606089064e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.705312653165258041e+00
3.800000000000000266e+00,1.092740494918338134e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.640540552365047589e+00
4.000000000000000000e+00,1.055660191709997031e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.395155405949285665e+00
4.200000000000000178e+00,1.220341678032182298e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.277365038756272497e-01
4.400000000000000355e+00,1.064424529505643147e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.427744043784860750e+00
4.600000000000000533e+00,1.182011099073814631e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.929540639673787084e+00
4.800000000000000711e+00,9.959897482802170243e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.316776930141735136e+00
5.000000000000000000e+00,1.167746337285189062e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.056690101536910120e+00
5.200000000000000178e+00,1.032506209955067922e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.207164284992227721e+00
5.400000000000000355e+00,1.006522005994493485e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.676457124038417845e+00
5.600000000000000533e+00,1.270265154285133757e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.709690553745780051e+00
5.800000000000000711e+00,1.111091359339322349e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.884264302261058788e+00
6.000000000000000000e+00,1.100579824759453151e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.020323047046840514e+00
6.200000000000000178e+00,1.226813344432922559e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.632517106735841494e+00
6.400000000000000355e+00,1.039964918668880189e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.400526989086491980e+00
6.600000000000000533e+00,9.953800383294613141e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.326001367652516194e+00
6.800000000000000711e+00,1.072282993586033628e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.749143031970520568e+00
7.000000000000000000e+00,1.019509943515426453e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.996503314439033616e+00
7.200000000000000178e+00,1.184293540168283920e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.020679081926690657e+00
7.400000000000000355e+00,1.019104122802245493e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.069137641967326857e+00
7.600000000000000533e+00,1.024190065505218961e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.052799507341499741e+00
7.800000000000000711e+00,9.867206506451314807e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.248338959291427130e+00
8.000000000000000000e+00,1.088856732244058323e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.843948272376723096e+00
8.200000000000001066e+00,1.175797325747206523e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.905738185027022524e+00
8.400000000000000355e+00,1.069365328675584204e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.433045070308986979e+00
8.599999999999999645e+00,1.071969873726492439e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.559020552686913419e+00
8.800000000000000711e+00,1.097724134337243473e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.023683234030720257e+00
9.000000000000000000e+00,1.040243009688596842e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.171250993104294480e+00
9.200000000000001066e+00,1.199789446586718489e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.244998309095365130e-01
9.400000000000000355e+00,1.067314069744337068e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.477069897356638961e+00
9.600000000000001421e+00,1.143406794753874189e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.824625855149887954e+00
9.800000000000000711e+00,9.531644016051049606e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.877748371472847566e+00
1.000000000000000000e+01,1.128617708016440124e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.005166056391782803e+00
1.020000000000000107e+01,9.131389224511017311e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.323481554746319233e+00
1.040000000000000036e+01,1.081318248483124300e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.293082816957557668e+00
1.060000000000000142e+01,9.566457593025463613e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.073953761760559900e+00
1.080000000000000071e+01,1.167028397947267093e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.265724669092580967e+00
1.100000000000000000e+01,1.029472949730966924e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.813694363745179672e+00
1.120000000000000107e+01,1.185411056760123927e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.423031434697737296e+00
1.140000000000000036e+01,1.090957805378095946e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.670754062680503083e+00
1.160000000000000142e+01,1.125978684294540955e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.063914197822885654e+00
1.180000000000000071e+01,1.095515737610893270e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.465922806631068553e+00
