t,S,theta,kappa,sigma,I
0.000000000000000000e+00,9.106187161920047402e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.390296047117782763e+00
2.000000000000000111e-01,1.195460711613162808e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.599898767333698402e+00
4.000000000000000222e-01,1.143359780128794689e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.443725696959553773e+00
6.000000000000000888e-01,1.057951348489609256e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.822404106477700125e+00
8.000000000000000444e-01,1.033685625891437088e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.041329355654132982e+00
1.000000000000000000e+00,1.221133318188337036e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.876218775604229450e+00
1.200000000000000178e+00,1.003448455929652816e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.300207889662850391e+00
1.400000000000000133e+00,1.173039960166289974e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.756185982542508128e+00
1.600000000000000089e+00,1.147364162834138002e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.105654157632159240e+00
1.800000000000000044e+00,1.141802839369183697e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.679272782125945440e+00
2.000000000000000000e+00,9.498542610101373684e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.620843923120400376e+00
2.200000000000000178e+00,1.095012348818928949e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.685426125131193942e+00
2.400000000000000355e+00,1.106280816294383129e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.801329656822348468e+00
2.600000000000000089e+00,1.155289293613194213e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.438129836238367432e+00
2.800000000000000266e+00,1.236582363624025627e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.463742160839267115e+00
3.000000000000000000e+00,1.026827004746246663e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.220671275408525602e+00
3.200000000000000178e+00,1.230843587751282442e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.747262745480625767e-01
3.400000000000000355e+00,1.006342905673996979e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.922599914640497509e+00
3.600000000000000089e+00,1.067303107923718075e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.541853924588554747e+00
3.800000000000000266e+00,1.022693996093869462e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.448533003109423234e+00
4.000000000000000000e+00,1.121950257526083794e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.901572527446178107e+00
4.200000000000000178e+00,1.086750251887312446e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.760648108010551383e+00
4.400000000000000355e+00,1.251162807862503001e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.153040637835967885e+00
4.600000000000000533e+00,1.013684813267689888e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.870083872747202669e+00
4.800000000000000711e+00,1.135153821213043646e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.051468544001388672e+00
5.000000000000000000e+00,1.110993533385462806e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.036659695885248311e+00
5.200000000000000178e+00,1.082708702732087636e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.575191640250345415e+00
5.400000000000000355e+00,1.102267068003865091e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.645184840727761610e-01
5.600000000000000533e+00,1.232968834001158198e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.501228008853219720e+00
5.800000000000000711e+00,1.211268964240407753e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.850111180083622742e+00
6.000000000000000000e+00,1.075683915401368429e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.660037687965343345e+00
6.200000000000000178e+00,1.158283014472927253e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.642560466983335132e+00
6.400000000000000355e+00,9.839504855589407128e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.314159596333150049e+00
6.600000000000000533e+00,1.082871650068006675e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.994150645903912888e+00
6.800000000000000711e+00,1.184552003665470865e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.586770995415474061e+00
7.000000000000000000e+00,1.169134687769693315e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.474608489069925810e+00
7.200000000000000178e+00,1.017309959421261567e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.269630443727033153e+00
7.400000000000000355e+00,1.022107686974526031e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.230136936572836959e+00
7.600000000000000533e+00,1.074266595968401905e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.736847693435482398e+00
7.800000000000000711e+00,1.120226892296068311e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.113949950955467116e+00
8.000000000000000000e+00,1.138025816021204450e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.905786645982644245e-01
8.200000000000001066e+00,1.333655897040133542e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.579339056434060140e+00
8.400000000000000355e+00,1.067911777340197821e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.490363036004612951e-01
8.599999999999999645e+00,9.220708111619269065e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.433179718561264693e+00
8.800000000000000711e+00,8.499835043320097538e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.619380476121556001e-01
9.000000000000000000e+00,7.687487615164761978e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.640989628208117779e+00
9.200000000000001066e+00,9.499318847365164631e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.784728070267657785e+00
9.400000000000000355e+00,1.132464497327969610e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.376145897781556826e+00
9.600000000000001421e+00,9.065911605296287368e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.278047769498190434e+00
9.800000000000000711e+00,9.158959934967995098e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.487015323238490616e+00
1.000000000000000000e+01,9.260696560140537770e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.255361103963926084e+00
1.020000000000000107e+01,7.096186163603728225e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.779846640132671354e+00
1.040000000000000036e+01,8.365146573888613268e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.045915809653662265e+00
1.060000000000000142e+01,8.570448811092186148e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.448333639667463757e+00
1.080000000000000071e+01,8.043385311746223953e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.069187205710301569e+00
1.100000000000000000e+01,7.924673240354873638e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.761022444949478682e-01
1.120000000000000107e+01,9.539009860699159127e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.314056442766670330e+00
1.140000000000000036e+01,1.013368026335609740e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.127315379652209515e+00
1.160000000000000142e+01,8.369469861605701722e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.864187410693578073e+00
1.180000000000000071e+01,8.910200637491361153e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.236651160292073115e+00
1.200000000000000000e+01,8.876225354004259049e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.504964026857031456e-02
1.220000000000000107e+01,9.204056693910036557e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.936891521171215658e+00
1.240000000000000036e+01,1.090482414388418420e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.611697627617863837e+00
1.260000000000000142e+01,1.084279842150996709e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.133084775561464141e+00
1.280000000000000071e+01,8.947377137913750111e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.364118932369452253e+00
1.300000000000000000e+01,1.075674063232176847e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.969994381304140063e+00
1.320000000000000107e+01,1.010055064545544834e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.232488679916887264e+00
1.340000000000000036e+01,1.170829497954352760e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.651913666287903482e+00
