t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.233853970274571665e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.930287041452301011e+00
2.000000000000000111e-01,1.008965640469557723e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.695173428995659037e+00
4.000000000000000222e-01,1.117190841424407166e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.171783854507182809e-01
6.000000000000000888e-01,1.161365592966137283e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.971870818725093955e+00
8.000000000000000444e-01,7.908973582613528786e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.522031578250665262e+00
1.000000000000000000e+00,8.407553175493451825e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.536177495615905997e+00
1.200000000000000178e+00,8.932723022415024472e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.508920414578790670e+00
1.400000000000000133e+00,9.061980093905540601e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.627994568667990194e+00
1.600000000000000089e+00,9.720879019443041669e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.652510736803712632e+00
1.800000000000000044e+00,1.058567383040118992e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.978654553193111454e+00
2.000000000000000000e+00,7.704214715663083579e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-6.622966222007251602e+00
2.200000000000000178e+00,1.005160244085480548e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.062903441309146046e+00
2.400000000000000355e+00,8.238083273330653045e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.942543931227357135e+00
2.600000000000000089e+00,8.688666323232380195e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.693172099341596848e+00
2.800000000000000266e+00,9.608947509226851702e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.613325990011075461e+00
3.000000000000000000e+00,8.303092383968579959e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.098947646335947326e+00
3.200000000000000178e+00,8.280427307553884786e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-6.526030092077648170e+00
