t,S,theta,kappa,sigma,I
0.000000000000000000e+00,9.555019794428002422e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.361754877739130620e+00
2.000000000000000111e-01,1.070230940455215940e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.210643268191788025e+00
4.000000000000000222e-01,8.354723252652260790e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.656207655236476839e+00
6.000000000000000888e-01,9.593738721084068555e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.568742673481970940e+00
8.000000000000000444e-01,9.597097305475867923e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.969110306330664528e+00
1.000000000000000000e+00,9.089265279254543639e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.242303269679105426e+00
1.200000000000000178e+00,9.410566598272116501e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.795947320987529849e+00
1.400000000000000133e+00,8.870267714281171445e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.425548231687653100e+00
1.600000000000000089e+00,9.316959826408285350e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.318409701051812988e-01
1.800000000000000044e+00,9.545544538052400663e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.526862421790161406e+00
2.000000000000000000e+00,8.672320055398309302e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.983436394857368334e+00
2.200000000000000178e+00,8.782014703102738462e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.953654932401963862e+00
2.400000000000000355e+00,8.689671979513226008e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.614718237455441852e+00
2.600000000000000089e+00,8.564924196452605720e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.414525061808564743e+00
2.800000000000000266e+00,1.027606639306552605e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.784207783686881044e+00
3.000000000000000000e+00,8.494859762892120747e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.637376998678655937e+00
3.200000000000000178e+00,8.832397139570966615e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.161319755656787578e+00
3.400000000000000355e+00,8.696714444479716200e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.386580505030714505e-01
3.600000000000000089e+00,9.772833080636050829e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.779019562324638315e+00
3.800000000000000266e+00,8.084170556417688003e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.983837034982675718e+00
4.000000000000000000e+00,8.306092958255458791e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.854033642672882287e+00
4.200000000000000178e+00,8.795856083542116233e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.996529875020055300e+00
4.400000000000000355e+00,9.573148864575756756e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.302462097853952727e+00
4.600000000000000533e+00,9.336176073097887107e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.886510100209350504e+00
4.800000000000000711e+00,7.523687155490897949e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.441700863102560959e+00
5.000000000000000000e+00,9.717985714420366294e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.159702762585634872e+00
5.200000000000000178e+00,8.063897488649671708e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.953327024014807733e+00
5.400000000000000355e+00,8.278042327283304802e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.052716373977780506e+00
5.600000000000000533e+00,1.087066215758571097e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.959365800427842252e+00
5.800000000000000711e+00,9.269160006043026812e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.072658041078357272e+00
6.000000000000000000e+00,8.999560268440103261e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.841675305918775152e+00
6.200000000000000178e+00,9.843457260990609026e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.283571549985808247e+00
6.400000000000000355e+00,8.622553672900868937e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.941383814321438805e+00
6.600000000000000533e+00,8.593580451702580447e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-6.686016905454397197e+00
6.800000000000000711e+00,7.945911073916124279e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.374289277437114265e+00
7.000000000000000000e+00,8.161531608237108104e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.886096780447534371e+00
7.200000000000000178e+00,8.770811608899220513e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.917626749580904288e+00
7.400000000000000355e+00,7.318381250011790629e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.698279151953840937e+00
7.600000000000000533e+00,8.947995785089737364e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.895273558020820204e+00
7.800000000000000711e+00,8.673781061462076947e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.866667623024447664e+00
8.000000000000000000e+00,8.370267945804207299e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.433942767458201928e+00
8.200000000000001066e+00,1.012415524332627381e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.278790418496199344e+00
8.400000000000000355e+00,7.318354086373721756e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.962658832289319477e+00
8.599999999999999645e+00,8.782012547744861841e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.735781352917744158e+00
8.800000000000000711e+00,8.075075717883055670e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.515531541017210770e+00
9.000000000000000000e+00,9.756408708715280653e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.499563891086165057e+00
9.200000000000001066e+00,9.756528052955892871e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.465971041706318090e+00
9.400000000000000355e+00,8.284952515998352807e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.802284605707626497e+00
