t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.245293908513046999e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.258430013589919128e+00
2.000000000000000111e-01,1.079367207441479293e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.835941963927581355e-01
4.000000000000000222e-01,1.052805975708413389e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.858220666054412717e+00
6.000000000000000888e-01,1.128127707553186809e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.649953514526975695e+00
8.000000000000000444e-01,1.178087240745278486e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.752544244584956168e+00
1.000000000000000000e+00,1.114073509049949617e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.699346195549992444e+00
1.200000000000000178e+00,1.192098369943124681e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.753911460802120459e+00
1.400000000000000133e+00,1.216276949094357240e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.271003143068590191e-01
1.600000000000000089e+00,1.110824860685505122e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.191874157816567248e+00
1.800000000000000044e+00,1.013731890348215980e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.804842254439224192e+00
2.000000000000000000e+00,1.161927442139250255e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.671566296558641085e+00
2.200000000000000178e+00,1.203739594608070673e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.966707684137476875e+00
2.400000000000000355e+00,1.332990235101915832e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.440414410699329295e+00
2.600000000000000089e+00,1.152913051583632553e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.841340623894180517e+00
2.800000000000000266e+00,1.117544928063615384e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.911081739555029912e+00
3.000000000000000000e+00,9.726210308400414783e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.760613516667246969e+00
3.200000000000000178e+00,1.084524493540226731e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.057759264885635986e+00
3.400000000000000355e+00,1.036302586090039668e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.194808018828087626e+00
3.600000000000000089e+00,1.053771206565377927e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.391566385987879073e+00
3.800000000000000266e+00,9.544638715799997897e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.327915580214027003e+00
4.000000000000000000e+00,1.138514738409534877e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.059825470673679604e+00
4.200000000000000178e+00,1.012354507969196904e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.702481483474644008e+00
4.400000000000000355e+00,1.014076311658662410e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.731451713660845826e+00
4.600000000000000533e+00,1.148711366326134131e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.741490887826127931e+00
4.800000000000000711e+00,1.117673936145891833e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.582561488335937128e-01
5.000000000000000000e+00,1.107281996166342930e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.917237760729236129e-02
5.200000000000000178e+00,1.026158443382831464e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.609228873171558050e+00
5.400000000000000355e+00,1.190472609692181161e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.543973832323395357e-01
5.600000000000000533e+00,1.105500846110325952e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.480752949441761501e+00
5.800000000000000711e+00,1.021738508570156023e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.278758408101499100e+00
6.000000000000000000e+00,1.258142286716042335e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.749316410057147664e+00
6.200000000000000178e+00,1.192052102746842479e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.440519287203553489e+00
6.400000000000000355e+00,9.742873811107926052e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.147841630779264932e+00
6.600000000000000533e+00,1.025205692412240133e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.746625285429489693e+00
6.800000000000000711e+00,1.194905929865797800e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.232267665188153671e-01
7.000000000000000000e+00,1.039434652257227976e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.324781537496500405e+00
7.200000000000000178e+00,1.015657053449962266e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.339772197255982178e+00
7.400000000000000355e+00,1.087425070649503445e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.114288858494328238e+00
7.600000000000000533e+00,1.059200555463166715e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.895558557154693347e+00
7.800000000000000711e+00,1.152057981647590212e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.333548279453633967e+00
8.000000000000000000e+00,9.213506002664999528e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.479395803758785988e+00
8.200000000000001066e+00,1.241183049580420361e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.681388411222052071e-01
8.400000000000000355e+00,9.753975659425264677e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.790364361183568676e+00
8.599999999999999645e+00,1.342044145363435526e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.261937289828278352e+00
8.800000000000000711e+00,1.016087599866208668e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.215904361357058150e+00
9.000000000000000000e+00,1.110350873023760121e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.241929436960031552e+00
9.200000000000001066e+00,1.130432995228289217e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.538035896770921340e+00
9.400000000000000355e+00,1.191605117333059738e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.733297122024335835e+00
9.600000000000001421e+00,1.092073059833813087e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.840456720657780210e+00
9.800000000000000711e+00,1.103449498420113528e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.059238475534831636e+00
1.000000000000000000e+01,1.121705030836993355e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.836461498960085592e+00
1.020000000000000107e+01,9.131328950089910856e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.494728388069340497e+00
1.040000000000000036e+01,1.177079034601816510e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.013171539702179658e+00
1.060000000000000142e+01,1.016649175130519556e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.795574622450901714e+00
1.080000000000000071e+01,1.132555456133108374e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.270003387792300487e+00
1.100000000000000000e+01,1.037015022408083409e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.069761480863775205e-02
1.120000000000000107e+01,1.141789114656762916e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.884697244479369260e+00
1.140000000000000036e+01,1.163160611031546443e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.341978407282289787e+00
1.160000000000000142e+01,1.061651634508926190e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.928660374271146338e+00
1.180000000000000071e+01,1.205778626507515883e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.092747603251169153e+00
1.200000000000000000e+01,9.632257849644582093e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.491080300417785054e-01
1.220000000000000107e+01,1.168679339749867374e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.282786931578982603e+00
1.240000000000000036e+01,1.036423002534689219e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.594843106071280658e+00
1.260000000000000142e+01,1.130528767579199734e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.299692985929937095e+00
1.280000000000000071e+01,9.454757701281919502e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.187478007085837284e+00
1.300000000000000000e+01,1.170981308313435498e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.103259163444469948e+00
1.320000000000000107e+01,1.213925945482868807e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.751557716281855193e+00
1.340000000000000036e+01,1.159168762096294270e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.235623514784023769e-01
1.360000000000000142e+01,1.183146315408736493e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.242721083131700155e+00
1.380000000000000071e+01,1.029290006668809543e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.544893678354593902e+00
1.400000000000000000e+01,1.170457957197426291e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.238782996007948611e-01
1.420000000000000107e+01,9.722792582162586017e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.959549093690803545e+00
1.440000000000000036e+01,9.411065208904982882e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.030698826702076687e+00
1.460000000000000142e+01,1.115723219042339398e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.922847776962383293e+00
1.480000000000000071e+01,1.149998179079645855e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.637331690405504858e+00
1.500000000000000000e+01,1.095608962266620745e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.499367144528669371e+00
1.520000000000000107e+01,1.039603679931701885e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.003831168461461587e+00
1.540000000000000036e+01,1.209270214943605648e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.863005534902374194e+00
1.560000000000000142e+01,1.096851262176645969e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.805995906877615909e+00
1.580000000000000071e+01,1.057876897082100642e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.041346548601744360e+00
1.600000000000000000e+01,1.066158679030684509e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.795015411081822165e+00
1.619999999999999929e+01,1.000739725490935150e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.505609109563808445e+00
1.640000000000000213e+01,1.221766971933791357e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.597449408988611097e+00
1.660000000000000142e+01,9.016184253496317691e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.717407449199752634e+00
1.680000000000000071e+01,9.860474965563208460e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.287574468362569391e+00
1.700000000000000000e+01,8.405610546226653934e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.964926514431001081e+00
1.719999999999999929e+01,9.520400960154344894e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.492011582388236945e+00
1.740000000000000213e+01,7.703084768844469243e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.015708358867019712e+00
1.760000000000000142e+01,9.123521351171259841e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.455586244951096120e+00
1.780000000000000071e+01,8.807284014406949746e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-6.877448276278590455e+00
1.800000000000000000e+01,8.473421097457383144e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.947538806092730113e+00
1.819999999999999929e+01,9.583308220259163512e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.400923746525414515e+00
1.840000000000000213e+01,8.396888091536718335e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.194186015582737959e+00
1.860000000000000142e+01,8.834830981233831038e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.896779190100433610e+00
1.880000000000000071e+01,9.259322929903562871e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.461944107623455835e+00
1.900000000000000000e+01,9.810470480406554561e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,2.833623242204179604e-01
1.920000000000000284e+01,9.156512450675463599e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.114053143989742978e+00
1.940000000000000213e+01,9.941035799579319709e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.381763621528683927e+00
1.960000000000000142e+01,1.046434758840330659e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.147100517107730866e+00
1.980000000000000071e+01,7.767161605729486773e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.990558096116714637e+00
2.000000000000000000e+01,9.622966176466607457e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.321701624078063020e+00
2.020000000000000284e+01,9.675532962824731076e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.937413635102686271e+00
2.040000000000000213e+01,9.191462071917420040e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.807574745810001104e+00
2.060000000000000142e+01,8.615333897607976299e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,1.299677712809042873e+00
2.080000000000000071e+01,9.151753722054046802e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.282790806971901176e+00
2.100000000000000000e+01,9.572698184436403412e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.600148498773002359e+00
2.120000000000000284e+01,6.978625199490975373e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.306145358625467878e+00
2.140000000000000213e+01,9.394818623064195018e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.988684264609080543e+00
2.160000000000000142e+01,8.168798789562043972e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.355938786134913698e+00
2.180000000000000071e+01,8.865584066018539211e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.566868996772114997e+00
2.200000000000000000e+01,9.111681485222931087e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.658080428948329299e+00
2.220000000000000284e+01,9.225979619653935648e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.432866039611401021e+00
2.240000000000000213e+01,7.046817328554024762e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.829405330683842479e+00
2.260000000000000142e+01,9.220936350580993812e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.969200019875323449e+00
2.280000000000000071e+01,8.876413207713008680e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.972251765321281880e+00
2.300000000000000000e+01,9.616621677696531867e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,8.927518181317580570e+00
