t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.135722258006292673e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.794061639813975262e+00
2.000000000000000111e-01,1.179515493138372673e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.155073989137431312e+00
4.000000000000000222e-01,1.179051109176842749e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.841387575259734177e+00
6.000000000000000888e-01,1.077001166242002483e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.675178125797197382e+00
8.000000000000000444e-01,9.893915114893595542e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.862680664753066040e+00
1.000000000000000000e+00,1.021298755842616979e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.693512327531621509e+00
1.200000000000000178e+00,1.211018562395331122e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.922922159311916346e+00
1.400000000000000133e+00,1.175623286945425949e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.039070474410753064e+00
1.600000000000000089e+00,1.112238968021151297e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.696178387358081352e+00
1.800000000000000044e+00,1.096229212678824672e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.488932869923818458e-01
2.000000000000000000e+00,1.145419454805763237e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.888030842918430707e+00
2.200000000000000178e+00,1.066945174041844968e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.092967837201214820e+00
2.400000000000000355e+00,1.188418913915770592e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.501269049958482427e+00
2.600000000000000089e+00,1.096797837164271705e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.642932985411555080e+00
2.800000000000000266e+00,1.168451230829470555e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.051669712283125335e+00
3.000000000000000000e+00,1.026838303791269613e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.631022597111797978e+00
3.200000000000000178e+00,1.062648946594602961e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.911796611570380833e+00
3.400000000000000355e+00,1.249665277517368889e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.176248910453699281e+00
3.600000000000000089e+00,1.053201297558196803e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.406433189847639653e+00
3.800000000000000266e+00,1.025976940275671767e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.737110385116832134e+00
4.000000000000000000e+00,9.940207056333542068e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.961982699251858975e+00
4.200000000000000178e+00,1.132086561363812027e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.204675902742588178e+00
4.400000000000000355e+00,1.065820622808773432e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.083576821759351994e+00
4.600000000000000533e+00,1.216344711993533112e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.383775771479875516e+00
4.800000000000000711e+00,1.147807027896843524e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.162624000035492600e+00
5.000000000000000000e+00,1.103217867591896661e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.719320261242014425e+00
5.200000000000000178e+00,1.157619293274292138e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.657483618352085131e+00
5.400000000000000355e+00,9.949777425956098931e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.202147868375682549e+00
5.600000000000000533e+00,9.865172776801851562e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.116772703744739914e-01
5.800000000000000711e+00,1.012889978674090141e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.310892449564013518e+00
6.000000000000000000e+00,1.142251512441945671e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.609180363952418702e-01
6.200000000000000178e+00,1.119060857597597325e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.175566160411904093e+00
6.400000000000000355e+00,1.131515110455980189e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.398957862756784465e+00
6.600000000000000533e+00,9.758162686606552949e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.259770814412940254e+00
6.800000000000000711e+00,1.116411531815135971e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.258144516515195654e+00
7.000000000000000000e+00,1.161339247979857880e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.585790109990636410e+00
7.200000000000000178e+00,1.035039823748026055e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.902489550090422199e-01
7.400000000000000355e+00,1.007304361784744584e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.840002377512531595e+00
7.600000000000000533e+00,1.013354271389834693e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.383758991363382762e+00
7.800000000000000711e+00,1.294507161116100091e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.073349082301811919e+00
8.000000000000000000e+00,1.120110757781167310e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.426471636698977363e+00
8.200000000000001066e+00,1.090493908364651876e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.084924173266131220e+00
8.400000000000000355e+00,1.210098859256820480e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.117837100709085263e+00
8.599999999999999645e+00,1.009846598574942966e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.723778357619861978e+00
8.800000000000000711e+00,1.081398510398779544e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.765328104569849899e+00
9.000000000000000000e+00,1.234639111709149084e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.742870169250377188e-01
9.200000000000001066e+00,9.481416972090710438e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.137959792617313504e+00
9.400000000000000355e+00,1.038324688842840571e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.248950368640665332e+00
9.600000000000001421e+00,1.388449547647454096e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.972906880945458852e+00
9.800000000000000711e+00,1.133543561142128508e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.242654963380090294e+00
1.000000000000000000e+01,1.071645053590235319e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.312643333340417939e+00
1.020000000000000107e+01,1.045539017497414402e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.573018591419156564e+00
1.040000000000000036e+01,1.197382325991484198e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.941137905168730526e+00
1.060000000000000142e+01,1.050582103437673664e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.463565549248945885e+00
1.080000000000000071e+01,1.120093998972327309e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.367952871448627761e+00
1.100000000000000000e+01,1.079266918524556695e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.758926808205364622e+00
1.120000000000000107e+01,1.013335002676133190e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.170757025184862243e+00
1.140000000000000036e+01,8.423981174463155419e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.642305739406101139e+00
1.160000000000000142e+01,8.722310413183449462e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.840675989240878607e+00
1.180000000000000071e+01,9.600831182498544836e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.072384139838749917e+00
1.200000000000000000e+01,8.871305727423249854e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.748281086489804181e+00
1.220000000000000107e+01,8.900734139109023335e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.614337007201479324e+00
1.240000000000000036e+01,8.871608362291029115e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.169874751766638354e+00
1.260000000000000142e+01,9.933036816884575071e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.771886783192945458e+00
1.280000000000000071e+01,9.155796046479141026e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.171019356871241257e+00
1.300000000000000000e+01,1.002434721708960419e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.778467394987963246e-01
1.320000000000000107e+01,1.001003522050772920e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.501198203373359519e+00
1.340000000000000036e+01,7.559884767637130576e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,3.695075321555698622e+00
1.360000000000000142e+01,9.289063423762291549e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.271675116886115120e+00
1.380000000000000071e+01,9.857254847900076555e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.708477558375310679e+00
1.400000000000000000e+01,7.995509805848255436e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-9.532340153404948779e+00
1.420000000000000107e+01,8.314239172919225540e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-1.466937595806072636e+00
1.440000000000000036e+01,8.574137957761827078e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.474627050921530014e+00
1.460000000000000142e+01,9.333792400685430035e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.491357786952200115e+00
1.480000000000000071e+01,9.776668186208254951e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.361434612102630837e+00
1.500000000000000000e+01,8.426243717404892086e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.912410690614350983e+00
1.520000000000000107e+01,8.764069614077222292e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.942259754485959000e+00
1.540000000000000036e+01,8.161238220620793404e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.501944493593590835e+00
