t,S,theta,kappa,sigma,I
0.000000000000000000e+00,9.409620715792680334e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.331281634773741729e+00
2.000000000000000111e-01,1.035862324429846826e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.848709329011557045e+00
4.000000000000000222e-01,1.054273006675986002e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.640742359470854339e+00
6.000000000000000888e-01,1.130774980550157238e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.277396135120607568e+00
8.000000000000000444e-01,9.579647993174604803e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.938212637244348002e+00
1.000000000000000000e+00,8.949213725702208633e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.481218752792148763e-01
1.200000000000000178e+00,9.495623833431233729e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.879479490490307825e+00
1.400000000000000133e+00,8.815899153042512371e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.155034471961251086e+00
1.600000000000000089e+00,1.151081501873472135e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.727663525112273391e+00
1.800000000000000044e+00,9.504790794513930940e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.296012485452950003e+00
2.000000000000000000e+00,1.099906123145839576e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.607835959323058006e+00
2.200000000000000178e+00,1.002710594838057245e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.427077494256772994e+00
2.400000000000000355e+00,1.063263838789383575e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.379888460132388417e+00
2.600000000000000089e+00,8.910044467488470454e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.815608757650664984e+00
2.800000000000000266e+00,1.046081204711899471e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.620045330710997433e+00
3.000000000000000000e+00,8.903066960620491521e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.774465645676579939e+00
3.200000000000000178e+00,8.168853234136667085e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.304542849690202289e+00
3.400000000000000355e+00,8.615057176880497325e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.462392342001932910e+00
3.600000000000000089e+00,9.855821323686836388e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.830989727226565833e+00
3.800000000000000266e+00,1.008939559984513679e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.148274895203218904e-01
4.000000000000000000e+00,8.843680145941188453e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-4.165993845815439300e+00
4.200000000000000178e+00,1.059924358536250777e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.983343597828021387e+00
4.400000000000000355e+00,9.457009932824654852e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,4.576640138897163368e+00
4.600000000000000533e+00,9.323085660128251906e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.208486123724945571e+00
4.800000000000000711e+00,9.285987739621792691e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.573946458832270245e+00
5.000000000000000000e+00,7.970607572130392615e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,6.230718464260124989e+00
5.200000000000000178e+00,7.945114483981220443e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.352185214057520568e+00
5.400000000000000355e+00,8.087254565888623015e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-3.291048611023881243e+00
5.600000000000000533e+00,8.957447844812665982e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-7.050061743011237780e+00
5.800000000000000711e+00,8.554129754373475114e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.536655533770389326e+00
6.000000000000000000e+00,9.712650784917178370e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-8.498793064112371454e+00
6.200000000000000178e+00,7.904365119080063451e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-2.030908121420438306e+00
6.400000000000000355e+00,9.355461414431707201e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,5.536279967301030780e+00
6.600000000000000533e+00,9.309163731620366811e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,7.778154885359590764e+00
6.800000000000000711e+00,9.187443133794251926e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,9.631231032794019598e+00
7.000000000000000000e+00,1.019017682806229397e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01,-5.634885970621470008e+00
7.200000000000000178e+00,1.028292569187441385e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.851671448315343582e+00
7.400000000000000355e+00,1.050028489995395997e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.069327642318825156e-01
7.600000000000000533e+00,1.007038869585223928e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.365989653660373726e+00
7.800000000000000711e+00,1.215438932407664208e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.188440999076988192e+00
8.000000000000000000e+00,1.253282683973470313e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.948742960550855940e+00
8.200000000000001066e+00,1.195367135634919364e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.727747502883637765e+00
8.400000000000000355e+00,1.135547043378842824e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.187857373248512260e+00
8.599999999999999645e+00,1.106437762304479655e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.219734475821461217e+00
8.800000000000000711e+00,1.038799528473718592e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.486362318393855020e+00
9.000000000000000000e+00,9.036187306921349416e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.280395906563043695e-03
