t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.031606234982547665e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.069256523537383430e+00
2.000000000000000111e-01,1.082412503720744601e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.433424970682525057e+00
4.000000000000000222e-01,1.035766681799355604e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.033527455775439918e+00
6.000000000000000888e-01,1.111731931591158240e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.087134870994557190e+00
8.000000000000000444e-01,1.162385296191243089e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.962403710846921001e+00
1.000000000000000000e+00,1.191806849052829742e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.477962406847481702e-01
1.200000000000000178e+00,1.275249216813998387e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.102357404496311588e+00
1.400000000000000133e+00,1.040918491049098282e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.790198916852240529e-01
1.600000000000000089e+00,1.099681206341289519e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.855099251951237704e+00
1.800000000000000044e+00,1.033566013694063868e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.073652607568693185e+00
2.000000000000000000e+00,1.124976544296266701e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.614174336026272805e+00
2.200000000000000178e+00,9.751133538366054676e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.343229981435707820e+00
2.400000000000000355e+00,1.035604769862387142e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.212845938215929564e+00
2.600000000000000089e+00,1.126663425387328887e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.108115079761867960e+00
2.800000000000000266e+00,9.859033153936636040e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.828449524221458233e+00
3.000000000000000000e+00,1.102257201766982275e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.467766329832034700e-01
3.200000000000000178e+00,1.271491376981320975e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.610309694317431983e+00
3.400000000000000355e+00,1.086649032267416048e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.237908391150693177e+00
3.600000000000000089e+00,1.102947962173454810e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.081904125268412287e-01
3.800000000000000266e+00,1.063919495746346255e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.256371448126039070e+00
4.000000000000000000e+00,1.189567743493867624e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.245684307186269990e+00
4.200000000000000178e+00,1.042806544492001386e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.918614841383467606e+00
4.400000000000000355e+00,9.970732436796119202e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.254418687432284685e+00
4.600000000000000533e+00,1.070980842887862661e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.637085696911114496e+00
4.800000000000000711e+00,1.223841261831136951e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.323713176093715305e+00
5.000000000000000000e+00,1.043923738054354899e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.091960449942225964e+00
5.200000000000000178e+00,1.153647716391506650e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.066832122607984878e+00
5.400000000000000355e+00,1.202011148869991164e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.558806860352287771e+00
