t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.053558590290381680e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.564026237634848826e+00
2.000000000000000111e-01,9.930648174877045875e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.226886600668990468e+00
4.000000000000000222e-01,1.043267768875832946e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.869621930523269526e+00
6.000000000000000888e-01,9.971716762684063040e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.849926147507979124e-01
8.000000000000000444e-01,8.871080677728058195e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.730211118659671143e+00
1.000000000000000000e+00,9.693717082354406100e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.978247731886005667e+00
1.200000000000000178e+00,9.572781862436090528e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.155916974392265928e+00
1.400000000000000133e+00,9.566478272244426373e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.627795716329409004e+00
1.600000000000000089e+00,9.536576305009328847e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.161067201281372974e+00
1.800000000000000044e+00,9.421672647075611806e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.685666976223620495e+00
2.000000000000000000e+00,9.849660713714102345e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.182336564011576385e+00
2.200000000000000178e+00,9.654893218227920126e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-6.092717042030875163e+00
2.400000000000000355e+00,9.972535494808454359e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.546019739639213242e+00
2.600000000000000089e+00,8.571021066766512098e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.970639825434362891e+00
2.800000000000000266e+00,9.864810297560459018e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.278483840029926100e+00
3.000000000000000000e+00,1.217912300992978869e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.894138974142666854e+00
3.200000000000000178e+00,1.037993102280053481e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-7.094792340016122800e+00
3.400000000000000355e+00,1.085271159936564089e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.584698181186881882e+00
3.600000000000000089e+00,1.254297088258947479e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-5.036307073279466806e+00
3.800000000000000266e+00,9.014369444923049368e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.894355721975351514e+00
4.000000000000000000e+00,1.020565241435870130e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.202934777274183631e+00
4.200000000000000178e+00,1.003050005790430133e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.841532758515899815e+00
4.400000000000000355e+00,1.045217015045687869e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.742713921108215658e+00
4.600000000000000533e+00,1.104451772912111718e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.682425227874389861e-01
4.800000000000000711e+00,1.146542552684307825e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.510243854759558246e+00
5.000000000000000000e+00,1.071232351213850631e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.698344247216521552e+00
5.200000000000000178e+00,9.562754537491779949e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.003727748313046675e+00
5.400000000000000355e+00,9.591415600945074615e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.177687660878362408e+00
5.600000000000000533e+00,8.837119105315696110e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,4.856281794150021369e-01
5.800000000000000711e+00,9.116932963922383948e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,6.690478649806330225e+00
