t,S,theta,kappa,sigma,I
0.000000000000000000e+00,1.014061186412510862e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.653718948001200673e+00
2.000000000000000111e-01,9.469056442972578758e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.121597294679109069e+00
4.000000000000000222e-01,1.166504245582218768e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.638263170181518902e+00
6.000000000000000888e-01,1.057424712602518468e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,9.461921107373878925e+00
8.000000000000000444e-01,9.831464490093725361e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.903275399725792738e+00
1.000000000000000000e+00,1.248595244471927490e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.709830121969389438e+00
1.200000000000000178e+00,9.916970135794294094e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.304045831023593394e-01
1.400000000000000133e+00,1.139472733345184841e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,8.123695208405251833e+00
1.600000000000000089e+00,1.160458829985852480e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,1.768853265360597504e+00
1.800000000000000044e+00,1.109733348069542602e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.120673576395041948e+00
2.000000000000000000e+00,1.198377785138846408e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.360218389788073523e-01
2.200000000000000178e+00,9.666584314443831261e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,2.736850100664419472e+00
2.400000000000000355e+00,9.536201192769726553e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.374403737687563520e+00
2.600000000000000089e+00,1.122738838196563504e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-4.111007366083391901e+00
2.800000000000000266e+00,1.117112673034369896e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,3.102569835881542559e+00
3.000000000000000000e+00,9.603574871802423862e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.722621015737228589e+00
3.200000000000000178e+00,9.541903702693088629e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-9.927259616824127164e+00
3.400000000000000355e+00,9.062849450206745816e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-2.805408873791790825e+00
3.600000000000000089e+00,8.369939811961508713e-01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,5.463328950885369295e+00
3.800000000000000266e+00,1.018040876722252852e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-8.241313706911792991e+00
4.000000000000000000e+00,1.044700701867753434e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,7.522358859528942787e+00
4.200000000000000178e+00,1.015369798000429702e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-3.370844146056612978e+00
